"_id","replicas","date","cycle"
"ObjectId(""60783f545e0fe5577e1384d5"")",10,"2021-04-15T13:27:48.758Z",114
"ObjectId(""60783fbe5e0fe5577e1384d7"")",10,"2021-04-15T13:29:34.809Z",114
"ObjectId(""6078400f5e0fe5577e1384d9"")",10,"2021-04-15T13:30:55.468Z",115
"ObjectId(""607840115e0fe5577e1384db"")",10,"2021-04-15T13:30:57.907Z",115
"ObjectId(""607840625e0fe5577e1384dd"")",10,"2021-04-15T13:32:18.647Z",116
"ObjectId(""607840655e0fe5577e1384df"")",10,"2021-04-15T13:32:21.222Z",116
"ObjectId(""607840b55e0fe5577e1384e1"")",10,"2021-04-15T13:33:41.889Z",117
"ObjectId(""607841005e0fe5577e1384e3"")",10,"2021-04-15T13:34:56.580Z",117
"ObjectId(""607841515e0fe5577e1384e5"")",10,"2021-04-15T13:36:17.236Z",118
"ObjectId(""607841535e0fe5577e1384e7"")",10,"2021-04-15T13:36:19.670Z",118
"ObjectId(""607841a45e0fe5577e1384e9"")",10,"2021-04-15T13:37:40.287Z",119
"ObjectId(""607841a65e0fe5577e1384eb"")",10,"2021-04-15T13:37:42.721Z",119
"ObjectId(""607841f75e0fe5577e1384ed"")",10,"2021-04-15T13:39:03.372Z",120
"ObjectId(""607842445e0fe5577e1384ef"")",10,"2021-04-15T13:40:20.556Z",120
"ObjectId(""607842955e0fe5577e1384f1"")",10,"2021-04-15T13:41:41.331Z",121
"ObjectId(""607842975e0fe5577e1384f3"")",10,"2021-04-15T13:41:43.808Z",121
"ObjectId(""607842e85e0fe5577e1384f5"")",10,"2021-04-15T13:43:04.510Z",122
"ObjectId(""607842ea5e0fe5577e1384f7"")",10,"2021-04-15T13:43:06.966Z",122
"ObjectId(""6078433b5e0fe5577e1384f9"")",10,"2021-04-15T13:44:27.656Z",123
"ObjectId(""6078438a5e0fe5577e1384fb"")",10,"2021-04-15T13:45:46.756Z",123
"ObjectId(""607843db5e0fe5577e1384fd"")",10,"2021-04-15T13:47:07.513Z",124
"ObjectId(""607843de5e0fe5577e1384ff"")",10,"2021-04-15T13:47:10.097Z",124
"ObjectId(""6078442e5e0fe5577e138501"")",10,"2021-04-15T13:48:30.736Z",125
"ObjectId(""607844315e0fe5577e138503"")",10,"2021-04-15T13:48:33.470Z",125
"ObjectId(""607844825e0fe5577e138505"")",10,"2021-04-15T13:49:54.069Z",126
"ObjectId(""607844c05e0fe5577e138507"")",10,"2021-04-15T13:50:56.640Z",126
"ObjectId(""607845115e0fe5577e138509"")",10,"2021-04-15T13:52:17.315Z",127
"ObjectId(""607845135e0fe5577e13850b"")",10,"2021-04-15T13:52:19.957Z",127
"ObjectId(""607845645e0fe5577e13850d"")",10,"2021-04-15T13:53:40.761Z",128
"ObjectId(""607845675e0fe5577e13850f"")",10,"2021-04-15T13:53:43.202Z",128
"ObjectId(""607845b75e0fe5577e138511"")",10,"2021-04-15T13:55:03.870Z",129
"ObjectId(""607846285e0fe5577e138513"")",10,"2021-04-15T13:56:56.597Z",129
"ObjectId(""607846795e0fe5577e138515"")",10,"2021-04-15T13:58:17.228Z",130
"ObjectId(""6078467b5e0fe5577e138517"")",10,"2021-04-15T13:58:19.720Z",130
"ObjectId(""607846cc5e0fe5577e138519"")",10,"2021-04-15T13:59:40.320Z",131
"ObjectId(""607846ce5e0fe5577e13851b"")",10,"2021-04-15T13:59:42.810Z",131
"ObjectId(""6078471f5e0fe5577e13851d"")",10,"2021-04-15T14:01:03.586Z",132
"ObjectId(""607847945e0fe5577e13851f"")",10,"2021-04-15T14:03:00.705Z",132
"ObjectId(""607847e55e0fe5577e138521"")",10,"2021-04-15T14:04:21.381Z",133
"ObjectId(""607847e85e0fe5577e138523"")",10,"2021-04-15T14:04:24.007Z",133
"ObjectId(""607848385e0fe5577e138525"")",10,"2021-04-15T14:05:44.690Z",134
"ObjectId(""6078483b5e0fe5577e138527"")",10,"2021-04-15T14:05:47.216Z",134
"ObjectId(""6078488b5e0fe5577e138529"")",10,"2021-04-15T14:07:07.982Z",135
"ObjectId(""607848c65e0fe5577e13852b"")",10,"2021-04-15T14:08:06.843Z",135
"ObjectId(""607849175e0fe5577e13852d"")",10,"2021-04-15T14:09:27.495Z",136
"ObjectId(""6078491a5e0fe5577e13852f"")",10,"2021-04-15T14:09:30.122Z",136
"ObjectId(""6078496a5e0fe5577e138531"")",10,"2021-04-15T14:10:50.863Z",137
"ObjectId(""6078496d5e0fe5577e138533"")",10,"2021-04-15T14:10:53.386Z",137
"ObjectId(""607849be5e0fe5577e138535"")",10,"2021-04-15T14:12:14.134Z",138
"ObjectId(""60784a2c5e0fe5577e138537"")",10,"2021-04-15T14:14:04.764Z",138
"ObjectId(""60784a7d5e0fe5577e138539"")",10,"2021-04-15T14:15:25.514Z",139
"ObjectId(""60784a7f5e0fe5577e13853b"")",10,"2021-04-15T14:15:27.919Z",139
"ObjectId(""60784ad05e0fe5577e13853d"")",10,"2021-04-15T14:16:48.514Z",140
"ObjectId(""60784ad35e0fe5577e13853f"")",10,"2021-04-15T14:16:51.140Z",140
"ObjectId(""60784ba95e0fe5577e138541"")",10,"2021-04-15T14:20:25.099Z",141
"ObjectId(""60784bab5e0fe5577e138543"")",10,"2021-04-15T14:20:27.667Z",141
"ObjectId(""60784bfc5e0fe5577e138545"")",10,"2021-04-15T14:21:48.400Z",142
"ObjectId(""60784bfe5e0fe5577e138547"")",10,"2021-04-15T14:21:50.854Z",142
"ObjectId(""60784ccc5e0fe5577e138549"")",10,"2021-04-15T14:25:16.968Z",143
"ObjectId(""60784ccf5e0fe5577e13854b"")",10,"2021-04-15T14:25:19.412Z",143
"ObjectId(""60784d205e0fe5577e13854d"")",10,"2021-04-15T14:26:40.161Z",144
"ObjectId(""60784d225e0fe5577e13854f"")",10,"2021-04-15T14:26:42.548Z",144
"ObjectId(""60784d735e0fe5577e138551"")",10,"2021-04-15T14:28:03.222Z",145
"ObjectId(""60784df65e0fe5577e138553"")",10,"2021-04-15T14:30:14.842Z",145
"ObjectId(""60784e475e0fe5577e138555"")",10,"2021-04-15T14:31:35.577Z",146
"ObjectId(""60784e4a5e0fe5577e138557"")",10,"2021-04-15T14:31:38.073Z",146
"ObjectId(""60784e9a5e0fe5577e138559"")",10,"2021-04-15T14:32:58.636Z",147
"ObjectId(""60784e9d5e0fe5577e13855b"")",10,"2021-04-15T14:33:01.150Z",147
"ObjectId(""60784eed5e0fe5577e13855d"")",10,"2021-04-15T14:34:21.765Z",148
"ObjectId(""60784f2b5e0fe5577e13855f"")",10,"2021-04-15T14:35:23.293Z",148
